1,49,49,45
2,62,63,60
3,82,83,80
4,100,123,80
5,52,43,65
6,64,58,80
7,84,78,100
8,130,111,100
9,104,78,100
10,48,65,43
11,63,80,58
12,83,100,78
13,103,120,78
14,30,35,45
15,20,55,30
16,45,50,70
17,35,30,50
18,25,50,35
19,90,40,75
20,150,40,145
21,45,40,56
22,60,55,71
23,80,75,101
24,80,80,121
25,56,35,72
26,81,60,97
27,60,30,70
28,90,65,100
29,60,44,55
30,85,69,80
31,55,40,90
32,90,55,110
33,75,85,40
34,100,110,65
35,47,52,41
36,62,67,56
37,92,87,76
38,57,40,50
39,72,57,65
40,102,77,85
41,45,48,35
42,70,73,60
43,41,40,65
44,76,75,100
45,45,20,20
46,70,45,45
47,45,35,55
48,80,70,90
49,50,55,30
50,65,70,40
51,80,85,50
52,70,55,25
53,95,80,30
54,55,50,45
55,65,60,90
56,55,25,95
57,80,50,120
58,45,35,90
59,70,60,115
60,52,48,55
61,82,78,85
62,80,35,70
63,105,60,95
64,70,45,60
65,110,80,95
66,50,40,90
67,65,65,90
68,95,95,70
69,20,15,90
70,35,30,105
71,50,45,120
72,50,65,150
73,80,50,35
74,100,70,45
75,130,80,55
76,75,35,40
77,90,50,55
78,105,65,70
79,40,35,70
80,70,65,100
81,80,100,20
82,95,115,35
83,120,130,45
84,85,55,90
85,100,70,105
86,65,65,15
87,75,110,30
88,75,180,30
89,35,70,45
90,60,95,70
91,65,55,60
92,85,45,75
93,110,70,100
94,45,55,45
95,70,80,70
96,80,50,25
97,105,75,50
98,65,100,40
99,95,180,70
100,35,30,80
101,50,45,95
102,65,60,110
103,65,80,130
104,45,160,70
105,48,45,42
106,73,70,67
107,105,90,50
108,130,115,75
109,30,50,100
110,50,70,140
111,40,80,40
112,95,85,55
113,50,95,35
114,80,110,45
115,120,53,87
116,105,79,76
117,55,75,30
118,65,95,35
119,90,120,60
120,85,95,25
121,130,120,40
122,5,5,50
123,55,115,60
124,95,80,90
125,125,100,100
126,40,70,60
127,65,95,85
128,67,60,63
129,92,65,68
130,45,55,85
131,75,85,115
132,45,65,90
133,110,80,105
134,50,35,95
135,83,57,105
136,95,57,93
137,125,100,85
138,155,120,105
139,100,95,110
140,10,55,80
141,125,79,81
142,155,109,81
143,85,80,60
144,48,48,48
145,55,50,55
146,65,60,65
147,65,60,130
148,130,60,65
149,60,70,40
150,40,100,35
151,60,125,55
152,80,90,55
153,115,105,80
154,105,65,130
155,135,85,150
156,110,65,30
157,85,100,85
158,90,85,100
159,100,90,90
160,64,45,50
161,84,65,70
162,134,95,80
163,110,90,130
164,190,100,130
165,150,70,140
166,100,100,100
167,49,65,45
168,62,80,60
169,82,100,80
170,52,43,65
171,64,58,80
172,84,78,100
173,65,64,43
174,80,80,58
175,105,100,78
176,46,34,20
177,76,64,90
178,30,30,50
179,50,50,70
180,20,30,55
181,35,50,85
182,60,40,30
183,90,70,40
184,90,80,130
185,38,38,67
186,58,58,67
187,40,15,60
188,25,28,15
189,30,15,15
190,20,65,20
191,40,85,40
192,50,45,70
193,75,70,95
194,40,40,35
195,55,55,45
196,75,85,55
197,95,105,45
198,80,95,50
199,20,50,40
200,50,80,50
201,100,115,30
202,75,75,70
203,35,40,50
204,45,50,80
205,55,70,110
206,70,55,85
207,30,30,30
208,75,55,30
209,65,45,95
210,45,45,15
211,85,85,35
212,65,60,110
213,65,110,65
214,85,42,91
215,75,80,30
216,60,60,85
217,72,48,48
218,33,58,33
219,80,65,85
220,65,90,15
221,90,140,40
222,70,70,45
223,75,105,85
224,85,200,30
225,125,230,30
226,80,50,30
227,120,75,45
228,95,75,85
229,130,100,65
230,150,140,75
231,10,230,5
232,125,75,85
233,185,115,75
234,95,55,115
235,80,50,40
236,130,75,55
237,40,40,20
238,50,120,30
239,50,40,50
240,100,80,50
241,55,85,35
242,65,35,65
243,105,75,45
244,55,45,75
245,40,70,70
246,80,140,70
247,60,30,65
248,90,50,95
249,90,90,115
250,95,95,85
251,60,60,40
252,120,120,50
253,80,90,60
254,95,62,85
255,20,35,75
256,35,35,35
257,95,95,70
